display_item,title,file,n_rows,note
Supplementary Table 24a,Supplementary Table 24a Match chronology and player-list collection,supplementary/tables/TableS24a.csv,3,"Note. Match dates come from actual match-start timestamps, not download times. Player-list dates are corroborated by the collection log, API-query code and database insertion timestamps. All 126,000 focal-player records were inserted on 4 March 2026, 17:38:13–17:44:20 UTC (5 March, 01:38:13–01:44:20 in China). The collector queried players by tier and inserted new identifiers without overwriting existing tier records; subsequent collection updated match progress, not tier. Sampling tier therefore denotes the tier at player-list collection. Historical match-time tiers were not available. The fixed sample includes 50 API-reported patches from 14.5 to 16.6. Date coverage totals 2,223,228 of 2,240,354 matches."
Supplementary Table 24b,Supplementary Table 24b Coverage of the raw signal-field audit by patch,supplementary/tables/TableS24b.csv,50,"Note. Counts are unique matches. The nine ping fields were inspected for all ten participants in each retrieved match record. The audit covered 2,223,384 of 2,240,354 fixed-sample matches (99.24%) across 45 patches; records for 16,970 matches were unavailable. No inspected field was absent, null, negative, Boolean or non-numeric. A dash denotes no fixed-sample matches. Patch identifiers were treated as strings, preserving distinctions such as 15.1 and 15.10."
Supplementary Table 24c,Supplementary Table 24c Recorded zeros and field availability for nine ping types,supplementary/tables/TableS24c.csv,27,"Note. The audit includes 22,233,840 participant–match records, covering all ten participants in 2,223,384 retrieved matches. These are not the 2,520,000 focal-player records used for regional estimates. The denominator is the audited participant–match count for the specified region and ping. Recorded zeros are present numeric values equal to zero; absent fields, null values and invalid values are counted separately before aggregation. All nine fields were present and valid in every audited record. The audit does not establish field availability in the 16,970 matches without retrieved payloads."
Supplementary Table 24d,Supplementary Table 24d Temporal separation between match dates and player-list collection,supplementary/tables/TableS24d.csv,4,"Note. The signed offset is match-start calendar date in UTC minus player-list collection date in UTC; negative values denote earlier matches. The analysis includes 2,500,518 dated focal-player records; 19,482 records lack a retrieved match date. IQR denotes the 25th–75th percentiles. Offsets describe timing relative to the recorded sampling tier, not changes in tier. Records after player-list collection arose because match collection continued after player-list collection. Historical matches remain classified by their focal player’s sampling tier."
Supplementary Table 25a,Supplementary Table 25a Regional process contrasts after allowing contextual interactions,supplementary/tables/TableS25a.csv,12,"Note. The sample includes 126,000 players and 2,519,994 player–match records. All models adjust for sampling tier, team position, patch and duration, adding the stated region interactions. Marginal means average over seven equally weighted tiers and five equally weighted positions, the pooled patch distribution and mean duration. Original full-sample score transformations are retained. Δ is the adjusted mean in the first region minus the second. Pointwise 95% CIs use 1,000 joint player resamples within the original region × tier strata and first-order updates. All specified contrasts are reported with pointwise 95% confidence intervals without adjustment for multiple comparisons."
Supplementary Table 25b,Supplementary Table 25b Tier endpoint contrasts under alternative signalling weights,supplementary/tables/TableS25b.csv,6,"Note. The region × tier model uses 126,000 players and 2,519,994 records, with adjustment for position, patch and duration. Each region contains 6,000 players per sampling tier. Functional-group scoring weights the three content-defined ping groups equally; alternative scoring equally averages all nine standardized ping indicators and standardizes their mean again. Each score retains its own full-sample SD. A regional endpoint is Diamond minus Iron; a between-region contrast subtracts these endpoints. Pointwise 95% CIs use 1,000 joint player resamples within the original region × tier strata and first-order updates. All specified contrasts are reported with pointwise 95% confidence intervals without adjustment for multiple comparisons."
Supplementary Table 25c,Supplementary Table 25c Regional process contrasts near player-list collection,supplementary/tables/TableS25c.csv,3,"Note. The restricted sample includes 1,504,470 records from 112,696 players and 1,340,592 unique matches (59.70% of the original regional-analysis records). Matches must fall within 30 calendar days before or after player-list collection and have a platform prefix matching the focal player’s sampling server. Original full-sample scores are retained. Common references use equal tier and position weights, the restricted sample’s patch distribution and the original pooled mean duration. Resampling retains the original 126,000-player strata; players with no eligible records contribute zero estimating scores. Pointwise 95% CIs use 1,000 joint first-order updates. The additive adjustment model otherwise follows the main analysis. Tier labels refer to player-list collection in this restricted sample."
Supplementary Table 25d,Supplementary Table 25d Tier endpoint contrasts near player-list collection,supplementary/tables/TableS25d.csv,6,"Note. The restricted sample includes 1,504,470 records from 112,696 players and 1,340,592 unique matches (59.70% of the original regional-analysis records). Matches must fall within 30 calendar days before or after player-list collection and have a platform prefix matching the focal player’s sampling server. Original full-sample scores are retained. Common references use equal tier and position weights, the restricted sample’s patch distribution and the original pooled mean duration. Resampling retains the original 126,000-player strata; players with no eligible records contribute zero estimating scores. Pointwise 95% CIs use 1,000 joint first-order updates. Models include region × tier interactions and adjust for position, patch and duration. Within-region estimates are Diamond−Iron differences; between-region estimates compare the corresponding endpoint differences. Category contrasts compare different players, not within-player tier progression."
Supplementary Table 25e,Supplementary Table 25e Composition of the sample near player-list collection,supplementary/tables/TableS25e.csv,7,"Note. Selection rules are stated in Supplementary Table 25c. The original design contributed 6,000 players and approximately 120,000 records to each region × tier cell. Players can retain fewer than 20 records after the temporal and platform restrictions. Counts describe focal players and focal player–match records; unique matches can contain more than one focal player."
Supplementary Table 26a,Supplementary Table 26a Types and timing of the first subsequent neutral objective,supplementary/tables/TableS26a.csv,20,"Note. The sample contains 2,210,921 matches with an assigned first objective after the actual near-10-min cut-off. Lag is event time minus the actual cut-off, in seconds. Shares use all outcome-available matches within the row’s region. Void grubs correspond to HORDE events; the outcome refers to the first recorded acquisition event, not completion of an entire objective group. Events with unavailable ownership and opposing-team ties are excluded under the primary rules. Same-team simultaneous events retain a single team outcome. No Baron Nashor event was the first assigned objective in this sample."
Supplementary Table 26b,Supplementary Table 26b Associations after excluding objectives acquired within 60 seconds,supplementary/tables/TableS26b.csv,4,"Note. The later-event sample excludes 532,541 matches whose original first subsequent objective occurred within 60 s of the actual cut-off, retaining 1,678,380 matches. Eligible matches retain their original outcome and the common full-sample SD of the maintenance difference. Pooled models adjust for region, sampling tier, patch and six early-state differences; regional models omit region indicators and estimate their own adjustment coefficients. Both specifications use match-level HC0 normal intervals on the log-odds scale, which differ slightly from the main bootstrap intervals. The regional models also differ from the common-adjustment-coefficient interaction model in Fig. 4d."
Supplementary Table 27a,Supplementary Table 27a Paired bootstrap comparison for regional contrasts,supplementary/tables/TableS27a.csv,9,"Note. A fixed stratified subsample contains 100 focal players per region × tier cell, totalling 2,100 players and 42,000 records. Each replicate resamples 100 players per cell and retains all their records. The additive regional model jointly estimates maintenance and signalling. The two procedures use the same 300 resamples (seed 191026) and fixed preprocessing. Complete model refits are compared with first-order updates around the subsample estimate. CIs are percentile intervals; SD ratio is one-step divided by full-refit bootstrap SD. Paired RMSE is the root mean squared within-replicate discrepancy. Units are standardized-score contrasts. This comparison assesses the numerical accuracy of first-order updates under fixed preprocessing in the selected subsample."
Supplementary Table 27b,Supplementary Table 27b Paired bootstrap comparison for the prospective association,supplementary/tables/TableS27b.csv,1,"Note. A fixed stratified subsample contains 1,000 outcome-available matches per region × tier cell, totalling 21,000 matches. Each replicate resamples 1,000 matches per cell. The pooled logistic model uses the primary early-state adjustment and common maintenance scale. The two procedures use the same 300 resamples (seed 191026) and fixed preprocessing. Complete model refits are compared with first-order updates around the subsample estimate. CIs are percentile intervals; SD ratio is one-step divided by full-refit bootstrap SD. Paired RMSE is the root mean squared within-replicate discrepancy. Coefficient estimates and paired RMSEs are expressed on the log-odds scale. This comparison assesses the numerical accuracy of first-order updates under fixed preprocessing in the selected subsample."
Supplementary Table 28,Supplementary Table 28 Participant overlap in focal-player holdout validation,supplementary/tables/TableS28.csv,10,"Note. The original 70%/30% split assigns focal players within region × tier strata and removes matches containing focal players assigned to both sets. Focal-player overlap is zero. This audit additionally checks all ten participant identities in each retrievable match payload. Participant overlap percentages are conditional on the audited matches; 5,916 training and 2,381 test matches lack complete payloads for this audit. Shared identities may occur as non-focal participants across the two sets, so this evaluation is a focal-player holdout rather than a holdout of all participants. The predictive-gain intervals in Supplementary Table 19 condition on fitted models and fixed splits and resample test matches; they do not account for all cross-match participant dependence."
